K,date,tickers,weight method 1,weight method 2
11,2008-01-07,DUK,0.052770956706421915,0.11237503996207432
11,2008-01-07,LIN,0.07756041697863182,0.06527203989833529
11,2008-01-07,MET,0.10546929227954334,0.07613605943152112
11,2008-01-07,ORCL,0.15170155846868572,0.10363091039778718
11,2008-01-07,SPG,0.07467934769145211,0.04325811244753757
11,2008-04-07,AMGN,0.008653609503285024,4.654121703288543e-09
11,2008-04-07,AMZN,0.21464591904087135,5.9000244303151845e-09
11,2008-04-07,BAC,0.3246483214430483,0.4405549604739608
11,2008-04-07,BRK-B,0.0013791537738822854,6.285560515177111e-09
11,2008-04-07,CVX,0.10079410605267346,7.571914935735206e-08
11,2008-04-07,DD,0.076424054387078,0.5593772763522852
11,2008-04-07,INTC,0.08221195472710824,3.972451985095664e-09
11,2008-04-07,KO,0.058289735591855275,6.765303617909551e-05
11,2008-04-07,SO,0.06777028679443438,8.09961909226409e-09
11,2008-04-07,UNH,0.006884754385844788,1.1245926071623693e-09
11,2008-04-07,VZ,0.05829810429991887,4.392083596893464e-09
11,2008-07-07,ADBE,0.1575451839854123,0.22331678546167225
11,2008-07-07,C,0.20779809483378908,0.15915332669326449
11,2008-07-07,CVX,0.07487127661706826,0.15756330547875314
11,2008-07-07,DD,0.041210170459641995,0.0209977446323341
11,2008-07-07,LMT,0.02427949915674874,0.15124566708683468
11,2008-07-07,MMM,0.21634507430450892,0.14021434504714975
11,2008-07-07,NEE,0.039265601198271265,2.889854294832353e-05
11,2008-07-07,PEP,0.03142725984399785,0.0007136915535328392
11,2008-07-07,TGT,0.15510526494411078,0.030550529800098106
11,2008-07-07,TMUS,0.015205382679575608,0.014803465615779601
11,2008-07-07,V,0.036947191976875196,0.10141224008765327
11,2008-10-06,AMT,0.1104969456649065,0.0008389340659796106
11,2008-10-06,BIIB,0.003568317334417003,0.01943296918780262
11,2008-10-06,CVX,0.0836132728633849,0.18688999366434608
11,2008-10-06,GE,0.2433968260855011,0.2739195591790195
11,2008-10-06,GILD,0.08916725946461103,0.04626474782995177
11,2008-10-06,HD,0.05785629097836396,0.10592830715596292
11,2008-10-06,JPM,0.2259108799182229,0.17915381322548704
11,2008-10-06,PEP,0.058130819649692515,0.046037032202751474
11,2008-10-06,RTX,0.08505879704933317,0.04362055775028259
11,2008-10-06,SO,0.005157489316207485,2.3056530007138252e-05
11,2008-10-06,WMT,0.03764310167535949,0.09789102920874758
11,2009-01-06,BRK-B,0.002291995650967301,0.09835290275910404
11,2009-01-06,CAT,0.03492108177545657,0.0940852595406213
11,2009-01-06,COF,0.1372456315569377,0.07076007354231689
11,2009-01-06,CSCO,0.1938489750285784,0.12299631533204833
11,2009-01-06,DIS,0.12670259535914663,1.675517474219318e-06
11,2009-01-06,F,0.004386556948438165,0.0039602667465161775
11,2009-01-06,LOW,0.01708679089451347,0.14631298165638115
11,2009-01-06,MS,0.05220206776239323,0.010304787206396
11,2009-01-06,PG,0.11827245767521628,0.1873046026293383
11,2009-01-06,RTX,0.0996889152177291,0.165088741278305
11,2009-01-06,XOM,0.21335293213062312,0.10083239379149582
11,2009-04-06,AIG,0.005000066014685302,0.01800897213705383
11,2009-04-06,CVX,0.21099782438379508,0.14524523848134954
11,2009-04-06,DUK,0.008430326811668467,0.06729895444317559
11,2009-04-06,GS,0.16970488744799003,0.13106813286861554
11,2009-04-06,INTC,0.1224993750038444,0.12850069144040144
11,2009-04-06,LLY,0.11564278786054868,0.14516468350218814
11,2009-04-06,MO,0.006283292189718398,0.013464655742193759
11,2009-04-06,NFLX,0.0010702216705706159,0.0007886202812843017
11,2009-04-06,UPS,0.12583230305905377,0.15260642561034532
11,2009-04-06,V,0.0311877172492414,0.07529740057791426
11,2009-04-06,WFC,0.2033511983088837,0.1225562249154603
11,2009-07-06,CSCO,0.14645391961787504,7.405949090324636e-09
11,2009-07-06,DUK,0.0380836677351819,1.5223484895417096e-09
11,2009-07-06,GILD,0.007424854850232965,1.352566824298781e-09
11,2009-07-06,GOOGL,0.13480367126004913,0.623641268131041
11,2009-07-06,INTC,0.03237220709943185,1.6980649920582945e-08
11,2009-07-06,JPM,0.3215398868360992,0.15317210536218576
11,2009-07-06,LOW,0.04052663589476485,1.2009439107457236e-09
11,2009-07-06,PFE,0.08364404359272545,4.145417994438272e-09
11,2009-07-06,PG,0.055261476120600894,1.0827275467246151e-08
11,2009-07-06,RTX,0.13119664934888545,2.807223695852818e-07
11,2009-07-06,UNH,0.00869298764415332,0.22318630234930317
11,2009-10-06,ABT,0.007658214663395136,1.733683119669845e-05
11,2009-10-06,AIG,0.06394646174622574,0.05459908810871197
11,2009-10-06,CVS,0.010555237279676387,0.08112317162768086
11,2009-10-06,EMR,0.08334809953303787,0.14020982618802852
11,2009-10-06,GD,0.0496188781059329,0.23827488690162882
11,2009-10-06,HD,0.08541804226345298,2.587681631672947e-07
11,2009-10-06,MET,0.3214590412586284,0.11021008155051502
11,2009-10-06,NFLX,0.04170027856827553,0.0340967980055402
11,2009-10-06,PG,0.02589187703890556,0.09493683213210849
11,2009-10-06,WMT,0.01631640203095725,0.2465317075571113
11,2009-10-06,XOM,0.29408746751151205,1.232931169973137e-08
11,2010-01-06,AMZN,0.0602493713437519,0.06728494897536681
11,2010-01-06,COST,0.07042830818224603,0.12865123716318969
11,2010-01-06,CRM,0.06160631987205877,0.1741495681252273
11,2010-01-06,CVX,0.08364956490003106,0.3962711582672499
11,2010-01-06,EMR,0.11647829554420928,0.0807497339652781
11,2010-01-06,EXC,0.011528938187102855,4.267161592422526e-08
11,2010-01-06,HON,0.11475770502554902,8.05817047527254e-08
11,2010-01-06,JPM,0.40906358354427685,0.06502075826160858
11,2010-01-06,T,0.023476408342390388,7.702730253870754e-05
11,2010-01-06,TMUS,0.009762504974811253,3.9558993799600857e-07
11,2010-01-06,UPS,0.03899900008357258,0.08779504909630793
11,2010-04-06,AMZN,0.021497134137149185,2.4351999384457616e-08
11,2010-04-06,COF,0.03252045082590586,0.002517530973191848
11,2010-04-06,CRM,0.1005814498374832,3.633307706419636e-08
11,2010-04-06,CVX,0.16814158357420028,2.7370300396754325e-08
11,2010-04-06,DHR,0.0475370461974466,9.68511415999784e-08
11,2010-04-06,HD,0.020974627931202527,0.8209786539076659
11,2010-04-06,INTC,0.20564582369628087,0.06534952250590392
11,2010-04-06,JPM,0.2621059479983503,0.11115400400025262
11,2010-04-06,MRK,0.07610838599196841,2.050045521689229e-08
11,2010-04-06,PG,0.03569414513741906,4.6801762976367686e-08
11,2010-04-06,SO,0.029193404672593726,3.640403698755681e-08
11,2010-07-06,AXP,0.0914128091842595,0.3029375412127203
11,2010-07-06,BAC,0.2428757359420736,0.060997284098330065
11,2010-07-06,BMY,0.006642074227408282,3.541270679143578e-05
