K,date,tickers,weight
11,2008-04-07,BRK-B,6.285560515177111e-09
11,2008-04-07,CVX,7.571914935735206e-08
11,2008-04-07,DD,0.5593772763522852
11,2008-04-07,INTC,3.972451985095664e-09
11,2008-04-07,KO,6.765303617909551e-05
11,2008-04-07,SO,8.09961909226409e-09
11,2008-04-07,UNH,1.1245926071623693e-09
11,2008-04-07,VZ,4.392083596893464e-09
11,2008-07-07,ADBE,0.22331678546167225
11,2008-07-07,C,0.15915332669326449
11,2008-07-07,CVX,0.15756330547875314
11,2008-07-07,DD,0.0209977446323341
11,2008-07-07,LMT,0.15124566708683468
11,2008-07-07,MMM,0.14021434504714975
11,2008-07-07,NEE,2.889854294832353e-05
11,2008-07-07,PEP,0.0007136915535328392
11,2008-07-07,TGT,0.030550529800098106
11,2008-07-07,TMUS,0.014803465615779601
11,2008-07-07,V,0.10141224008765327
11,2008-10-06,AMT,0.0008389340659796106
11,2008-10-06,BIIB,0.01943296918780262
11,2008-10-06,CVX,0.18688999366434608
11,2008-10-06,GE,0.2739195591790195
11,2008-10-06,GILD,0.04626474782995177
11,2008-10-06,HD,0.10592830715596292
11,2008-10-06,JPM,0.17915381322548704
11,2008-10-06,PEP,0.046037032202751474
11,2008-10-06,RTX,0.04362055775028259
11,2008-10-06,SO,2.3056530007138252e-05
11,2008-10-06,WMT,0.09789102920874758
11,2009-01-06,BRK-B,0.09835290275910404
11,2009-01-06,CAT,0.0940852595406213
11,2009-01-06,COF,0.07076007354231689
11,2009-01-06,CSCO,0.12299631533204833
11,2009-01-06,DIS,1.675517474219318e-06
11,2009-01-06,F,0.0039602667465161775
11,2009-01-06,LOW,0.14631298165638115
11,2009-01-06,MS,0.010304787206396
11,2009-01-06,PG,0.1873046026293383
11,2009-01-06,RTX,0.165088741278305
11,2009-01-06,XOM,0.10083239379149582
11,2009-04-06,AIG,0.01800897213705383
11,2009-04-06,CVX,0.14524523848134954
11,2009-04-06,DUK,0.06729895444317559
11,2009-04-06,GS,0.13106813286861554
11,2009-04-06,INTC,0.12850069144040144
11,2009-04-06,LLY,0.14516468350218814
11,2009-04-06,MO,0.013464655742193759
11,2009-04-06,NFLX,0.0007886202812843017
11,2009-04-06,UPS,0.15260642561034532
11,2009-04-06,V,0.07529740057791426
11,2009-04-06,WFC,0.1225562249154603
11,2009-07-06,CSCO,7.405949090324636e-09
11,2009-07-06,DUK,1.5223484895417096e-09
11,2009-07-06,GILD,1.352566824298781e-09
11,2009-07-06,GOOGL,0.623641268131041
11,2009-07-06,INTC,1.6980649920582945e-08
11,2009-07-06,JPM,0.15317210536218576
11,2009-07-06,LOW,1.2009439107457236e-09
11,2009-07-06,PFE,4.145417994438272e-09
11,2009-07-06,PG,1.0827275467246151e-08
11,2009-07-06,RTX,2.807223695852818e-07
11,2009-07-06,UNH,0.22318630234930317
11,2009-10-06,ABT,1.733683119669845e-05
11,2009-10-06,AIG,0.05459908810871197
11,2009-10-06,CVS,0.08112317162768086
11,2009-10-06,EMR,0.14020982618802852
11,2009-10-06,GD,0.23827488690162882
11,2009-10-06,HD,2.587681631672947e-07
11,2009-10-06,MET,0.11021008155051502
11,2009-10-06,NFLX,0.0340967980055402
11,2009-10-06,PG,0.09493683213210849
11,2009-10-06,WMT,0.2465317075571113
11,2009-10-06,XOM,1.232931169973137e-08
11,2010-01-06,AMZN,0.06728494897536681
11,2010-01-06,COST,0.12865123716318969
11,2010-01-06,CRM,0.1741495681252273
11,2010-01-06,CVX,0.3962711582672499
11,2010-01-06,EMR,0.0807497339652781
11,2010-01-06,EXC,4.267161592422526e-08
11,2010-01-06,HON,8.05817047527254e-08
11,2010-01-06,JPM,0.06502075826160858
11,2010-01-06,T,7.702730253870754e-05
11,2010-01-06,TMUS,3.9558993799600857e-07
11,2010-01-06,UPS,0.08779504909630793
11,2010-04-06,AMZN,2.4351999384457616e-08
11,2010-04-06,COF,0.002517530973191848
11,2010-04-06,CRM,3.633307706419636e-08
11,2010-04-06,CVX,2.7370300396754325e-08
11,2010-04-06,DHR,9.68511415999784e-08
11,2010-04-06,HD,0.8209786539076659
