,,weight
2014-10-07,SO,0.014780882552424192
2014-10-07,TMUS,0.011625618752055516
2014-10-07,TSLA,0.04569483463702471
2014-10-07,WFC,0.1272661658211626
2014-10-07,XOM,0.052091594261384815
2015-01-07,GOOG,0.11543637387400092
2015-01-07,LOW,0.0328714601253682
2015-01-07,MMM,0.1444333244857598
2015-01-07,NEE,0.027931586679000142
2015-01-07,PEP,0.05241829845106268
2015-01-07,PFE,0.10217989713920106
2015-01-07,USB,0.39781026849046924
2015-01-07,V,0.027025288612622142
2015-01-07,VZ,0.03005109751621378
2015-01-07,XOM,0.0698424046263019
2015-04-07,CVX,0.07220932518509955
2015-04-07,DUK,0.021312222832482658
2015-04-07,GOOG,0.07163179014264048
2015-04-07,LOW,0.066299759679321
2015-04-07,MA,0.08523866117622217
2015-04-07,MMM,0.29914778526543057
2015-04-07,PG,0.10368831162475593
2015-04-07,TXN,0.10804660761612911
2015-04-07,VZ,0.0356165657357936
2015-04-07,WFC,0.13680897074212492
2015-07-07,BRK-B,0.145920523668554
2015-07-07,C,0.1269741622489857
2015-07-07,COP,0.0568969491603107
2015-07-07,CRM,0.017839089267280325
2015-07-07,DUK,0.02986953519846274
2015-07-07,GOOGL,0.21363869880851988
2015-07-07,HD,0.1100328335157466
2015-07-07,INTC,0.09389886117990182
2015-07-07,MMM,0.13463863809166743
2015-07-07,PM,0.07029070886057066
2015-10-07,BIIB,0.015615880184084361
2015-10-07,BRK-B,0.15020056983935678
2015-10-07,CMCSA,0.03436698620725555
2015-10-07,CVX,0.03866267390437999
2015-10-07,DUK,0.01510746372612026
2015-10-07,GOOGL,0.041565898712534084
2015-10-07,HON,0.3170813560337616
2015-10-07,JPM,0.16024435692984004
2015-10-07,PFE,0.09402836752600448
2015-10-07,SBUX,0.1331264469366628
2016-01-07,AMGN,0.10458789200134594
2016-01-07,CVX,0.04616826419534257
2016-01-07,DHR,0.05080335626269945
2016-01-07,F,0.03370078190807231
2016-01-07,GOOGL,0.19205749955509327
2016-01-07,LOW,0.08250960279419323
2016-01-07,NVDA,0.021723161921522096
2016-01-07,PEP,0.11418006164893206
2016-01-07,SO,0.01396478963449465
2016-01-07,WFC,0.34030459007830444
2016-04-07,ABT,0.0366273255580068
2016-04-07,ADBE,0.09739146175551786
2016-04-07,AMGN,0.08332263417664312
2016-04-07,C,0.22123989414415587
2016-04-07,CVX,0.04673169040468214
2016-04-07,GOOGL,0.2191088412107533
2016-04-07,NEE,0.011488163152802464
2016-04-07,ORCL,0.17527354372541495
2016-04-07,PEP,0.06928327401256552
2016-04-07,T,0.03953317185945797
2016-07-07,AMGN,0.16492279349566785
2016-07-07,DUK,0.018592625985532615
2016-07-07,EMR,0.13869441125778414
2016-07-07,GOOGL,0.12315111211171441
2016-07-07,JPM,0.1922185029552067
2016-07-07,LOW,0.016502817973392377
2016-07-07,PEP,0.09327231598433734
2016-07-07,T,0.029937270708702158
2016-07-07,TXN,0.1905487790841509
2016-07-07,V,0.03215937044351175
2016-10-07,C,0.14065466778040783
2016-10-07,CVS,0.016497011134154818
2016-10-07,CVX,0.041542205239954076
2016-10-07,DUK,0.05992926689098724
2016-10-07,GOOG,0.12957248662132634
2016-10-07,IBM,0.12753610969678927
2016-10-07,LOW,0.0400455760343455
2016-10-07,MO,0.12542587723782533
2016-10-07,TMO,0.23740725169321722
2016-10-07,UPS,0.08138954767099271
2017-01-06,ABT,0.027218155832886066
2017-01-06,CMCSA,0.04650796786420276
2017-01-06,COP,0.03875085832292892
2017-01-06,F,0.049566974796631816
2017-01-06,GOOGL,0.3071139305066128
2017-01-06,GS,0.1646336726138013
2017-01-06,PEP,0.10621037134708333
2017-01-06,PFE,0.11851166979782801
2017-01-06,TXN,0.07258859998645194
2017-01-06,UPS,0.06889779893157306
2017-04-07,GOOG,0.14308296189154887
2017-04-07,HON,0.09901229439316377
2017-04-07,MA,0.13169183844048327
2017-04-07,PEP,0.059029452756188615
2017-04-07,PFE,0.09876746665009473
2017-04-07,SO,0.014979402950934787
2017-04-07,TMO,0.019531516843523344
2017-04-07,TMUS,0.06271592257155643
2017-04-07,USB,0.33959707523593796
2017-04-07,WMT,0.03159206826656822
2017-07-07,BAC,0.11853735235574162
2017-07-07,BRK-B,0.11545958888366546
2017-07-07,COP,0.04569384784246143
2017-07-07,DUK,0.017718888799903066
2017-07-07,FB,0.35441473056803174
2017-07-07,GD,0.0513558354893363
2017-07-07,GILD,0.10631114040254741
2017-07-07,MA,0.10612185171274378
2017-07-07,PM,0.04579252922808246
2017-07-07,WMT,0.03859423471748697
2017-10-06,ADBE,0.22241769897161576
2017-10-06,AMGN,0.1626268551499967
2017-10-06,COST,0.04342227684162431
2017-10-06,DUK,0.031836675065236006
2017-10-06,F,0.04736160823039346
2017-10-06,GOOGL,0.18719541858300617
2017-10-06,JPM,0.18671117097463655
2017-10-06,LOW,0.0314844743244758
2017-10-06,SBUX,0.03179569045066879
2017-10-06,T,0.05514813140834642
2018-01-08,CSCO,0.03968525060010864
2018-01-08,DUK,0.013142731943055378
2018-01-08,GILD,0.09882975010333044
2018-01-08,GOOG,0.27359976657763785
2018-01-08,HON,0.05589209868668707
2018-01-08,JPM,0.19941979599020923
2018-01-08,LOW,0.042843381696173806
2018-01-08,MA,0.15777914542146454
2018-01-08,PEP,0.043207309458089024
2018-01-08,UPS,0.07560076952324432
2018-04-06,CHTR,0.006164927870671076
2018-04-06,CSCO,0.2642750104727728
2018-04-06,CVX,0.035820416281783354
2018-04-06,DUK,0.012400194284394647
2018-04-06,GE,0.014633866843024309
2018-04-06,GOOG,0.21640233819682803
2018-04-06,JPM,0.2925747985224641
2018-04-06,KO,0.08344956012351501
2018-04-06,PFE,0.07108262479146767
2018-04-06,SPG,0.0031962626130788334
2018-07-06,CAT,0.1595429359106313
2018-07-06,CMCSA,0.041958654098374286
2018-07-06,COP,0.038869754697754035
2018-07-06,CVS,0.036881574987191995
2018-07-06,DHR,0.1223614631232938
2018-07-06,JPM,0.11895876804134167
2018-07-06,LLY,0.03458033460202029
2018-07-06,MSFT,0.3778405998029442
2018-07-06,NEE,0.012488374596211108
2018-07-06,PG,0.05651754014023727
2018-10-08,CAT,0.11784085126687298
2018-10-08,CL,0.04349017758475027
2018-10-08,COP,0.023447500236618093
2018-10-08,LOW,0.019941333401653945
2018-10-08,MRK,0.04987460774211867
2018-10-08,MS,0.12313280704314852
2018-10-08,NEE,0.03741057347633123
2018-10-08,PM,0.015354262765336711
2018-10-08,PYPL,0.4229611505943787
2018-10-08,TMO,0.1465467358887908
2019-01-07,AMGN,0.04840566527275205
2019-01-07,GE,0.010925000630283621
2019-01-07,HON,0.12786009663500394
2019-01-07,JPM,0.12837875138940294
2019-01-07,KO,0.06085350503251877
2019-01-07,LOW,0.023462215071396595
2019-01-07,MO,0.010703819869819543
2019-01-07,NEE,0.012201645580076663
2019-01-07,TMO,0.12400970156215964
2019-01-07,V,0.453199598956586
2019-04-08,CVS,0.04248207658042354
2019-04-08,EXC,0.03447350473394273
2019-04-08,GM,0.012249579208556184
2019-04-08,GOOGL,0.24308383301806624
2019-04-08,HON,0.1345472108690848
2019-04-08,JPM,0.1143098645640566
2019-04-08,KHC,0.004283846017350968
2019-04-08,MA,0.303181293896312
2019-04-08,MRK,0.06314635366217651
2019-04-08,PG,0.04824243745003047
2019-07-08,BLK,0.13954763951818575
2019-07-08,CL,0.02856371229486214
2019-07-08,COST,0.050481672792381214
2019-07-08,GILD,0.05578630501484297
2019-07-08,MRK,0.05310797335568647
2019-07-08,MS,0.12372119005187117
2019-07-08,MSFT,0.30561973086203
2019-07-08,NEE,0.01704503546464414
2019-07-08,NVDA,0.19063530183674302
2019-07-08,T,0.035491438808753314
2019-10-07,CL,0.055861735022632406
2019-10-07,DUK,0.026258964768217853
2019-10-07,GOOG,0.08312032038892722
2019-10-07,LOW,0.02211880827368448
2019-10-07,MO,0.01230911465367708
2019-10-07,MRK,0.03512153381337706
2019-10-07,MS,0.20108701600009912
2019-10-07,MSFT,0.42562576232517585
2019-10-07,WBA,0.0890655518357532
2019-10-07,XOM,0.04943119291845558
2020-01-07,AMGN,0.034931806601244696
2020-01-07,BLK,0.19613465035518213
2020-01-07,GD,0.050531721137545046
2020-01-07,KO,0.07129706575996457
2020-01-07,MDT,0.04633467048692743
2020-01-07,MS,0.2650191389612564
2020-01-07,T,0.043469074665639644
2020-01-07,TGT,0.01705107055470497
2020-01-07,V,0.24479831594639198
2020-01-07,WMT,0.030432485531143305
2020-04-07,BAC,0.09344374341816268
2020-04-07,C,0.08302701925154139
2020-04-07,COST,0.04035377280978829
2020-04-07,DUK,0.07058369501815782
2020-04-07,GILD,0.008913391487258665
2020-04-07,JNJ,0.06330053381808194
2020-04-07,LOW,0.0558277649913975
2020-04-07,MSFT,0.40548132595965997
2020-04-07,TSLA,0.0711521290540854
2020-04-07,V,0.1079166241918664
2020-07-07,AMZN,0.18672486248530681
2020-07-07,BAC,0.10569967214928257
2020-07-07,CL,0.03170945041954309
2020-07-07,EXC,0.04465712201528591
2020-07-07,HON,0.15778388902638246
2020-07-07,MRK,0.06143202328559604
2020-07-07,MSFT,0.2906446302277646
2020-07-07,TGT,0.008825824431308617
2020-07-07,TXN,0.05297617578837481
2020-07-07,V,0.05954635017115503
2020-10-07,ADBE,0.2567240099788033
2020-10-07,DD,0.04020450283685085
2020-10-07,EXC,0.02574842865362325
2020-10-07,JNJ,0.05782012672807732
2020-10-07,JPM,0.07270879295174541
2020-10-07,MA,0.05004987410377866
2020-10-07,MDLZ,0.02674796119365558
2020-10-07,NVDA,0.3646499789614311
2020-10-07,RTX,0.07992707992600061
2020-10-07,TMUS,0.02541924466603401
2021-01-07,EXC,0.014523583257790686
2021-01-07,HD,0.047170703797087626
2021-01-07,HON,0.09296468619302038
2021-01-07,MA,0.21352188685943368
2021-01-07,MDLZ,0.03177945625678627
2021-01-07,MET,0.123573778267603
2021-01-07,MSFT,0.42302181855017723
2021-01-07,PM,0.008735846791255277
2021-01-07,TMO,0.01212762145254753
2021-01-07,UNH,0.032580618574298406
2021-04-07,ADBE,0.5762293420134762
2021-04-07,BAC,0.08126412122433135
2021-04-07,BIIB,0.007095450079180012
2021-04-07,HON,0.08895563772691326
2021-04-07,LOW,0.03197126861934941
2021-04-07,MA,0.07084666232986843
2021-04-07,MRK,0.02787507365446801
2021-04-07,PG,0.0634052027211195
2021-04-07,TMO,0.02613750280576783
2021-04-07,XOM,0.026219738825526043
2021-07-07,DUK,0.03217715129676329
2021-07-07,GOOGL,0.1924149411656881
2021-07-07,HD,0.07273423520088332
2021-07-07,KO,0.0688557389092373
2021-07-07,LLY,0.009115964776262038
2021-07-07,MET,0.1816719984160478
2021-07-07,MRK,0.031285685356279416
2021-07-07,PYPL,0.3091133277002374
2021-07-07,TMO,0.014589929465952752
2021-07-07,TXN,0.08804102771264874
2021-10-07,AVGO,0.14732282662487833
2021-10-07,EMR,0.061313175703350396
2021-10-07,FDX,0.009374329598224321
2021-10-07,JNJ,0.08025495487905752
2021-10-07,MA,0.03566487184228553
2021-10-07,MDLZ,0.036084658043492986
2021-10-07,MET,0.14716431427169743
2021-10-07,MSFT,0.293529857017341
2021-10-07,SO,0.01213722754865522
2021-10-07,XOM,0.17715378447101743
